Sticker | Boombl4 | Berlin 2019
Sticker | Stalking Prey
Sticker | Coiled Strike
CZ75-Auto | Tacticat (Minimal Wear)
USP-S | Forest Leaves (Minimal Wear)
StatTrak™ CZ75-Auto | Polymer (Field-Tested)
M4A4 | Magnesium (Field-Tested)
Glock-18 | Ironwork (Minimal Wear)
StatTrak™ Five-SeveN | Scumbria (Field-Tested)
StatTrak™ MP9 | Black Sand (Field-Tested)
SCAR-20 | Assault (Minimal Wear)
AUG | Contractor (Minimal Wear)
SCAR-20 | Contractor (Field-Tested)
Nova | Predator (Well-Worn)
Dual Berettas | Contractor (Field-Tested)
AUG | Storm (Field-Tested)
Tec-9 | Army Mesh (Field-Tested)
PP-Bizon | Urban Dashed (Battle-Scarred)
SG 553 | Waves Perforated (Minimal Wear)
P250 | Boreal Forest (Field-Tested)
